Ano;Referencia;UF;População prisional_total;Pessoas privadas de liberdade por faixa etaria_18 a 24 anos;pessoas privadas de liberdade por faixa etaria_25 a 29 anos;pessoas privadas de liberdade por faixa etaria_30 a 34 anos;pessoas privadas de liberdade por faixa etaria_35 a 45 anos;pessoas privadas de liberdade por faixa etaria_46 a 60 anos;pessoas privadas de liberdade por faixa etaria_61 a 70 anos;pessoas privadas de liberdade por faixa etaria_Mais de 70 anos;Pessoas privadas de liberdade por cor de pele_Branca;Pessoas privadas de liberdade por cor de pele_Preta;Pessoas privadas de liberdade por cor de pele_Parda;Pessoas privadas de liberdade por cor de pele_Amarela;Pessoas privadas de liberdade por cor de pele_Indigena;Crimes contra o patrimonio | Furto simples (Art. 155) | Total;Crimes contra o patrimonio | Furto qualificado;Crimes contra o patrimonio | Roubo simples (Art. 157);Crimes contra o patrimonio | Roubo qualificado;Crimes contra o patrimonio | Latrocinio;Crimes contra o patrimonio | Extorsao;Crimes contra o patrimonio | Extorsao mediante sequestro;Crimes contra o patrimonio | Apropriacao indebita;Crimes contra o patrimonio | Apropriacao indebita previdenciaria;Crimes contra o patrimonio | Estelionato;Crimes contra o patrimonio | Receptacao;Crimes contra o patrimonio | Receptacao qualificada;Trafico de drogas;Associacao para o trafico;Trafico internacional de drogas
2024;2024/2;BA;2407;338.0;521.0;426.0;605.0;401.0;78.0;38.0;190.0;555.0;1651.0;7.0;4.0;25.0;12.0;138.0;3.0;35.0;2.0;13.0;1.0;0.0;21.0;10.0;36.0;768.0;139.0;7.0
2024;2024/2;BA;83;33.0;21.0;15.0;7.0;5.0;1.0;1.0;9.0;31.0;43.0;0.0;0.0;5.0;1.0;0.0;1.0;1.0;1.0;2.0;0.0;0.0;2.0;2.0;2.0;6.0;2.0;0.0
2024;2024/2;BA;178;22.0;62.0;46.0;31.0;13.0;4.0;0.0;3.0;55.0;120.0;0.0;0.0;3.0;3.0;48.0;103.0;6.0;0.0;3.0;0.0;0.0;3.0;7.0;0.0;111.0;3.0;0.0
2024;2024/2;BA;196;25.0;48.0;36.0;53.0;17.0;1.0;0.0;5.0;58.0;133.0;0.0;0.0;14.0;7.0;68.0;136.0;8.0;0.0;0.0;0.0;0.0;0.0;11.0;1.0;154.0;24.0;1.0
2024;2024/2;BA;198;28.0;46.0;25.0;55.0;34.0;9.0;1.0;13.0;11.0;174.0;0.0;0.0;18.0;0.0;29.0;0.0;12.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;75.0;11.0;0.0
2024;2024/2;BA;87;14.0;19.0;14.0;27.0;12.0;1.0;0.0;5.0;25.0;57.0;0.0;0.0;2.0;3.0;0.0;14.0;8.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;27.0;0.0;1.0
2024;2024/2;BA;631;75.0;204.0;138.0;173.0;41.0;0.0;0.0;27.0;178.0;425.0;1.0;0.0;36.0;0.0;38.0;0.0;14.0;5.0;14.0;0.0;0.0;0.0;81.0;0.0;399.0;73.0;12.0
2024;2024/2;BA;430;53.0;76.0;74.0;153.0;63.0;7.0;4.0;65.0;172.0;193.0;0.0;0.0;8.0;10.0;17.0;26.0;14.0;1.0;6.0;0.0;0.0;1.0;3.0;0.0;44.0;4.0;0.0
2024;2024/2;BA;600;81.0;121.0;105.0;154.0;107.0;25.0;7.0;118.0;97.0;385.0;0.0;0.0;37.0;28.0;64.0;4.0;12.0;3.0;0.0;0.0;0.0;12.0;14.0;0.0;269.0;14.0;0.0
2024;2024/2;BA;537;143.0;137.0;94.0;116.0;37.0;8.0;2.0;98.0;138.0;295.0;0.0;6.0;14.0;13.0;76.0;59.0;9.0;5.0;2.0;0.0;0.0;5.0;20.0;0.0;261.0;43.0;3.0
2024;2024/2;BA;1952;366.0;507.0;381.0;444.0;215.0;32.0;7.0;108.0;568.0;1267.0;5.0;4.0;57.0;2.0;130.0;344.0;77.0;9.0;9.0;0.0;0.0;32.0;23.0;0.0;474.0;0.0;0.0
2024;2024/2;BA;678;102.0;136.0;129.0;187.0;95.0;18.0;11.0;70.0;126.0;478.0;2.0;1.0;13.0;17.0;46.0;82.0;45.0;4.0;11.0;0.0;0.0;3.0;17.0;1.0;134.0;29.0;1.0
2024;2024/2;BA;806;148.0;178.0;147.0;202.0;107.0;21.0;3.0;185.0;204.0;412.0;0.0;5.0;8.0;0.0;146.0;2.0;5.0;1.0;1.0;0.0;0.0;1.0;4.0;0.0;264.0;10.0;0.0
2024;2024/2;BA;548;100.0;118.0;99.0;144.0;67.0;15.0;5.0;32.0;110.0;401.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;356.0;7.0;0.0
2024;2024/2;BA;1106;223.0;236.0;178.0;289.0;155.0;19.0;6.0;48.0;134.0;924.0;0.0;0.0;46.0;43.0;63.0;102.0;34.0;1.0;1.0;0.0;0.0;2.0;9.0;1.0;322.0;85.0;3.0
